EC_No;TA_Taux01;RT_Base01;RT_Montant01;JO_Num;EC_Date;CT_Num;JO_Type
578971;19.0;21584.613;4101.076;03;2024-08-07;4110001684;1
579028;19.0;1485.0;282.15;03;2024-08-08;4110002620;1
579047;19.0;1043.145;198.198;03;2024-08-08;4110000097;1
579071;19.0;9710.783;1845.048;03;2024-08-08;4110000022;1
579079;19.0;25585.264;4861.601;01;2024-08-08;1343;0
579123;19.0;1110.547;211.004;03;2024-08-08;4110000401;1
579131;19.0;2154.386;409.333;03;2024-08-08;4110000407;1
579144;19.0;369.749;70.252;03;2024-08-08;4110000406;1
579167;19.0;3161.34;600.654;03;2024-08-08;4110000249;1
579179;19.0;-1567.84;-297.89;03;2024-08-08;4110000256;1
579220;19.0;2160.0;410.4;01;2024-08-09;1053;0
579226;19.0;2233.806;424.424;03;2024-08-09;4110000408;1
579230;19.0;4536.645;861.964;03;2024-08-09;4110000959;1
579337;19.0;22273.49;4231.963;03;2024-08-09;4110001684;1
579348;19.0;1029.265;195.561;03;2024-08-09;4110000282;1
