DO_Piece;DR_Montant;DR_Regle;DR_ModeReg
MF2300571;0.0;0;2
MF2300574;0.0;0;2
MF2300575;0.0;0;1
MF2300578;0.0;0;2
MF2300581;0.0;0;2
MF2300584;0.0;0;1
MF2300586;0.0;0;2
MF2300588;0.0;0;2
MF2300590;0.0;0;2
MF2300594;0.0;0;1
MF2300595;0.0;0;1
MF2300597;0.0;0;1
MF2300598;0.0;0;1
MF2300599;0.0;0;1
MF2300600;0.0;0;2
MF2300604;0.0;0;2
MF2300605;0.0;0;1
MF2300606;0.0;0;1
MF2300607;0.0;0;1
MF2300608;0.0;0;2
MF2300609;0.0;0;1
MF2300610;0.0;0;1
MF2300611;0.0;0;1
MF2300612;0.0;0;1
MF2300613;0.0;0;2
MF2300614;0.0;0;1
MF2300615;0.0;0;2
MAV230001;0.0;0;1
MF2300617;0.0;0;2
MF2300618;0.0;0;2
MF2300616;0.0;0;2
MF2300619;0.0;0;2
MF2300620;0.0;0;1
AM0000000;0.0;0;1
AM2300035;0.0;0;1
MFR023001;0.0;0;1
MF2300621;0.0;0;1
MF2300622;0.0;0;2
MF2300623;0.0;0;1
MF2300624;0.0;0;1
MF2300622;0.0;0;2
MF2300622;0.0;0;1
MF2300622;0.0;0;1
MF2300622;0.0;0;1
MF2300622;0.0;0;2
MF2300622;0.0;0;2
MF2300622;0.0;0;2
MF2300623;0.0;0;1
MF2300623;0.0;0;1
MF2300623;0.0;0;1
MF2300623;0.0;0;1
MF2300623;0.0;0;1
MF2300623;0.0;0;2
MF2300623;0.0;0;1
MF2300623;0.0;0;1
MF2300623;0.0;0;1
MF2300623;0.0;0;1
MF2300624;0.0;0;1
MF2300624;0.0;0;1
MF2300624;0.0;0;1
MF2300624;0.0;0;1
MF2300624;0.0;0;2
MFR023001;0.0;0;2
MF2300624;0.0;0;1
MF2300624;0.0;0;1
MF2300619;0.0;0;2
MF2300624;0.0;0;1
MF2300624;0.0;0;1
MF2300624;0.0;0;1
MF2300624;0.0;0;1
MF2300624;0.0;0;1
MF2300624;0.0;0;1
MF2300617;0.0;0;2
MF2300617;0.0;0;1
MF2300618;0.0;0;1
MF2300618;0.0;0;2
MF2300619;0.0;0;1
MF2300619;0.0;0;1
MF2300620;0.0;0;2
MF2300621;0.0;0;2
MF2300621;0.0;0;1
MF2300621;0.0;0;1
MFR023001;0.0;0;1
MFR023001;0.0;0;2
MF2300624;0.0;0;1
MF2300624;0.0;0;1
MF2300624;0.0;0;1
MF2300624;0.0;0;1
MF2300625;0.0;0;2
MFR023001;0.0;0;1
MF2300625;0.0;0;1
MFR023001;0.0;0;1
MFR023001;0.0;0;2
MFR023001;0.0;0;1
MFR023001;0.0;0;1
MF2300625;0.0;0;2
MFR023001;0.0;0;2
MF2300625;0.0;0;2
MF2300625;0.0;0;2
MF2300618;0.0;0;1
MF2300622;0.0;0;2
MF2300623;0.0;0;1
MF2300624;0.0;0;1
MF2300625;0.0;0;1
MF2300625;0.0;0;1
MF2300625;0.0;0;1
MFR023001;0.0;0;1
MFR023001;0.0;0;1
MFR023001;0.0;0;1
MF2300625;0.0;0;1
MF2300612;0.0;0;2
MFR023001;0.0;0;2
MFR023001;0.0;0;1
MFR023001;0.0;0;1
MF2300625;0.0;0;1
MF2300625;0.0;0;2
MF2300625;0.0;0;2
MF2300626;0.0;0;2
MF2300626;0.0;0;2
MF2300626;0.0;0;1
MF2300626;0.0;0;1
MF2300626;0.0;0;1
MF2300626;0.0;0;1
MF2300626;0.0;0;1
MF2300626;0.0;0;1
MF2300626;0.0;0;1
MF2300626;0.0;0;1
MF2300627;0.0;0;1
MF2300627;0.0;0;1
MF2300627;0.0;0;2
MF2300627;0.0;0;2
MF2300627;0.0;0;1
MF2300627;0.0;0;1
MF2300627;0.0;0;1
MF2300627;0.0;0;2
MF2300627;0.0;0;2
MFR023001;0.0;0;2
MF2300627;0.0;0;1
MF2300628;0.0;0;2
MFR023001;0.0;0;1
MFR023001;0.0;0;1
MF2300628;0.0;0;1
MFR023001;0.0;0;1
MF2300628;0.0;0;1
MF2300602;0.0;0;1
MF2300604;0.0;0;2
MF2300605;0.0;0;1
MF2300608;0.0;0;1
MF2300608;0.0;0;1
MF2300611;0.0;0;1
MF2300613;0.0;0;1
MF2300613;0.0;0;2
MF2300614;0.0;0;1
MF2300614;0.0;0;1
MF2300614;0.0;0;1
MF2300615;0.0;0;2
MF2300615;0.0;0;1
MF2300615;0.0;0;1
MF2300617;0.0;0;2
MF2300617;0.0;0;2
MF2300618;0.0;0;1
MF2300619;0.0;0;1
MF2300619;0.0;0;2
MF2300620;0.0;0;2
MF2300620;0.0;0;1
MF2300621;0.0;0;2
MF2300621;0.0;0;2
MF2300622;0.0;0;1
MF2300622;0.0;0;2
MF2300622;0.0;0;2
MF2300622;0.0;0;1
MF2300622;0.0;0;1
MF2300622;0.0;0;1
MF2300622;0.0;0;2
MF2300622;0.0;0;2
MF2300623;0.0;0;1
MF2300623;0.0;0;1
MF2300623;0.0;0;1
MF2300623;0.0;0;1
MF2300623;0.0;0;1
MF2300623;0.0;0;2
MF2300623;0.0;0;1
MF2300623;0.0;0;1
