RT_Num;CT_Num;DO_Type;DO_Piece;RT_Date;RT_Mode;RT_Montant;RT_Etat;BQ_Num
RF00003724;1178;0;AM250001288;2025-07-01 00:00:00;5;1132.039;2;
RF00003725;1053;0;AM250001329;2025-07-01 00:00:00;4;38670.21;2;AMEN BK 2
RF00003726;1053;0;AM250001329;2025-07-01 00:00:00;5;1198.688;2;
RF00003727;5097;0;2025-014.013;2025-07-02 00:00:00;2;9505.0;2;AMEN BK 2
RF00003728;1351;0;AM250001259;2025-07-02 00:00:00;3;49327.312;2;AMEN BK 2
RF00003729;1351;0;AM250001300;2025-07-02 00:00:00;5;498.255;2;
RF00003730;5099;0;02/2025;2025-07-03 00:00:00;4;4016.25;2;AMEN BK 2
RF00003731;5099;0;10/2025...;2025-07-03 00:00:00;5;446.25;2;
RF00003732;1375;0;AM250001419;2025-07-03 00:00:00;4;11844.104;2;BTL
RF00003733;1375;0;AM250001419;2025-07-03 00:00:00;5;119.637;1;
RF00003734;4082;0;MAV250000178;2025-07-03 00:00:00;3;84448.441;2;AMEN BK 2
RF00003735;4082;0;AM250001084;2025-07-03 00:00:00;5;4246.953;2;
RF00003736;1343;17;AM250001251;2025-07-05 00:00:00;3;55557.791;2;AMEN BK 2
RF00003737;1032;0;AM250001294;2025-07-07 00:00:00;3;176625.488;2;AMEN BK 2
RF00003738;1032;0;AM250001319;2025-07-07 00:00:00;5;1784.095;2;
RF00003739;1351;0;AM250001315;2025-07-07 00:00:00;3;30000.0;2;AMEN BK 2
RF00003740;1343;17;AM250001293;2025-07-08 00:00:00;3;34961.617;2;AMEN BK 2
RF00003741;1343;0;AM250001293;2025-07-08 00:00:00;5;353.147;2;
RF00003742;1032;0;AM250001309;2025-07-09 00:00:00;3;142368.357;2;AMEN BK 2
RF00003743;1032;0;AM250001318;2025-07-09 00:00:00;5;1438.064;1;
